caseName,doubleCase,blockIndex,localPositions,status,codewordRecovered,payloadRecovered,reportedSuccessWrongPayload
BCH-S200,two_payload,0,0;1,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S200,payload_parity,0,0;11,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S200,two_parity,0,11;12,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S200,payload_filler,18,0;2,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S200,two_filler,18,2;3,CORRECTED_SINGLE_ERROR,false,true,true
BCH-S200,filler_parity,18,2;11,CORRECTED_SINGLE_ERROR,false,true,true
BCH-S300,two_payload,0,0;1,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S300,payload_parity,0,0;11,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S300,two_parity,0,11;12,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S300,payload_filler,27,0;3,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S300,two_filler,27,3;4,CORRECTED_SINGLE_ERROR,false,false,true
BCH-S300,filler_parity,27,3;11,CORRECTED_SINGLE_ERROR,false,true,true
