caseName,ebn0Db,computedSigma,independentReferenceSigma,absoluteDifference,relativeDifference,status
BCH-S200,0,0.84409715080670666,0.84409715080670666,0,0,PASS
BCH-S200,2,0.67049019973608692,0.67049019973608692,0,0,PASS
BCH-S200,4,0.53258929675629685,0.53258929675629685,0,0,PASS
BCH-S200,6,0.42305071592547577,0.42305071592547577,0,0,PASS
BCH-S200,8,0.33604112837992661,0.33604112837992661,0,0,PASS
BCH-B200,0,0.78740078740118113,0.78740078740118113,0,0,PASS
BCH-B200,2,0.62545467747688943,0.62545467747688943,0,0,PASS
BCH-B200,4,0.49681630986026243,0.49681630986026243,0,0,PASS
BCH-B200,6,0.39463522239353394,0.39463522239353394,0,0,PASS
BCH-B200,8,0.31346989956388005,0.31346989956388005,0,0,PASS
BCH-S300,0,0.83666002653407556,0.83666002653407556,0,0,PASS
BCH-S300,2,0.66458268194118275,0.66458268194118275,0,0,PASS
BCH-S300,4,0.52789678857466837,0.52789678857466837,0,0,PASS
BCH-S300,6,0.41932332418513357,0.41932332418513357,0,0,PASS
BCH-S300,8,0.33308035587869472,0.33308035587869472,0,0,PASS
BCH-B300,0,0.80622577482985491,0.80622577482985491,0,0,PASS
BCH-B300,2,0.64040789650981478,0.64040789650981478,0,0,PASS
BCH-B300,4,0.50869407393813149,0.50869407393813149,0,0,PASS
BCH-B300,6,0.40407006576597915,0.40407006576597915,0,0,PASS
BCH-B300,8,0.32096426204481454,0.32096426204481454,0,0,PASS
