caseName,targetFer,lowerPoint,upperPoint,interpolatedEbN0,interpolationValid,reason
BCH-S200,0.1,EbN0=6.1;FER=0.1182,EbN0=6.3;FER=0.0854,6.202887049173538,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-S200,0.01,EbN0=7.5;FER=0.0113856313333,EbN0=7.7;FER=0.0086258949366,7.593497696726304,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-S200,0.001,,,,false,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,0.1,EbN0=4.5;FER=0.1302,EbN0=4.7;FER=0.0712,4.587445581288869,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-B200,0.01,EbN0=5.3;FER=0.0122152323948,EbN0=5.5;FER=0.0053218381629,5.348166343479317,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-B200,0.001,EbN0=5.7;FER=0.002,EbN0=5.9;FER=0.00078,5.847226188212811,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-S300,0.1,EbN0=6.4;FER=0.1022,EbN0=6.6;FER=0.0748,6.413944588341992,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-S300,0.01,EbN0=7.6;FER=0.0123373018321,EbN0=7.8;FER=0.00840124338402,7.709326504789244,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-S300,0.001,EbN0=8.6;FER=0.00116,EbN0=8.8;FER=0.00072,8.66224051743405,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-B300,0.1,EbN0=4.4;FER=0.148,EbN0=4.6;FER=0.0862,4.545055155041064,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-B300,0.01,EbN0=5;FER=0.0208768267223,EbN0=5.2;FER=0.00819034358491,5.157329769435952,true,LOG10_FER_LINEAR_INTERPOLATION
BCH-B300,0.001,,,,false,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
