caseName,snrDb,avgDecodeTimeUs
BCH-S200,6.4618513565547095,15.779380000000002
BCH-S200,6.6618513565547088,16.932439999999957
BCH-S200,6.8618513565547099,23.332440000000013
BCH-S200,7.0618513565547092,22.428720000000087
BCH-S200,7.2618513565547103,16.64447999999997
BCH-S200,7.4618513565547095,19.654659999999982
BCH-S200,7.6618513565547088,17.522679999999983
BCH-S200,7.8618513565547099,22.885420000000011
BCH-S200,8.0618513565547083,16.507180000000009
BCH-S200,8.2618513565547111,16.327759999999941
BCH-S200,8.4618513565547104,15.19540000000003
BCH-S200,8.6618513565547097,16.771739999999973
BCH-S200,8.861851356554709,20.050620000000027
BCH-S200,9.0618513565547083,14.620860000000018
BCH-S200,9.2618513565547111,16.044099999999982
BCH-S200,9.4618513565547104,14.219100000000006
BCH-S200,9.6618513565547097,19.492759999999983
BCH-S200,9.861851356554709,15.252600000000072
BCH-S200,10.061851356554708,13.428619999999992
BCH-S200,10.261851356554711,16.220140000000008
BCH-S200,10.46185135655471,14.551039999999961
BCH-S200,10.66185135655471,14.664856388247008
BCH-S200,10.861851356554709,17.30984002414737
BCH-S200,11.061851356554708,13.952040429564113
BCH-S200,11.261851356554711,13.04754896880508
BCH-S200,11.46185135655471,14.280162908512954
BCH-S200,11.66185135655471,13.638846888125235
BCH-S200,11.861851356554709,13.4763250883392
BCH-S200,12.061851356554708,13.583982562227501
BCH-S200,12.261851356554711,14.083182321348001
BCH-S200,12.46185135655471,13.855260947004112
BCH-S200,12.66185135655471,16.547217450579343
BCH-S200,12.861851356554709,17.063238927572307
BCH-S200,13.061851356554708,17.437844000000045
BCH-S200,13.261851356554711,17.905882000000009
BCH-S200,13.46185135655471,16.402256000000207
BCH-S200,13.66185135655471,16.485550000000032
BCH-S200,13.861851356554709,14.944866000000022
BCH-S200,14.061851356554708,15.264880000000174
BCH-S200,14.261851356554711,17.499929999999978
BCH-S200,14.46185135655471,16.881726000000004
BCH-B200,5.0657831483776494,33.566379999999981
BCH-B200,5.2657831483776496,32.946660000000037
BCH-B200,5.4657831483776498,32.539799999999978
BCH-B200,5.6657831483776491,34.808400000000098
BCH-B200,5.8657831483776492,33.964259999999896
BCH-B200,6.0657831483776494,29.54153999999992
BCH-B200,6.2657831483776496,29.708559999999899
BCH-B200,6.4657831483776498,28.664960000000043
BCH-B200,6.6657831483776491,31.455800000000011
BCH-B200,6.8657831483776492,34.253320000000059
BCH-B200,7.0657831483776494,30.079300000000053
BCH-B200,7.2657831483776487,26.888960000000008
BCH-B200,7.4657831483776498,26.026032559541655
BCH-B200,7.6657831483776491,26.24626299826684
BCH-B200,7.8657831483776501,26.94706717477392
BCH-B200,8.0657831483776494,25.850898352502337
BCH-B200,8.2657831483776487,24.271293267401916
BCH-B200,8.4657831483776498,24.324666327698033
BCH-B200,8.6657831483776491,23.907336079000377
BCH-B200,8.8657831483776501,24.213506000000137
BCH-B200,9.0657831483776494,26.334202000000076
BCH-B200,9.2657831483776487,27.719283999999735
BCH-B200,9.4657831483776498,24.586543999999705
BCH-B200,9.6657831483776491,26.03493400000005
