parameter,value,source
payloadLength,300,Stage01
zeroTailBits,6,Stage01
masterSeed,2026072001,Stage08
minFrames,5000,user_task
targetFrameErrors,200,user_task
maxFrames,50000,user_task
checkpointIntervalFrames,1000,user_task
R12_snrStepDb,0.2,Stage08
R23_snrStepDb,0.1,Stage09_endpoint_alignment
R34_snrStepDb,0.1,Stage09_endpoint_alignment
shardCount,2,Stage09
R12_H_range_dB,0.0:2.0,Stage08
R12_S_range_dB,-2.0:0.0,Stage08
R23_H_range_dB,1.0:4.0,Stage08
R23_S_range_dB,-0.5:2.0,Stage08
R34_H_range_dB,2.0:4.0,Stage08
R34_S_range_dB,0.5:3.0,Stage08
